br_kbps,len,gap_us,n,tx_sent,tx_ok,rx_ok,crc_err,per_x1e6,rx_elapsed_s,tx_elapsed_s,rx_kbps,tx_kbps,rssi_avg,drops
2600,255,5000,500,500,500,500,0,0,18.6,4.9,54,207,-32.0,0
2600,255,2000,500,500,500,500,0,0,17.6,3.4,57,298,-32.0,0
2600,255,1000,500,500,500,500,0,0,17.6,2.9,57,349,-32.0,0
2600,255,500,500,500,500,500,0,0,17.6,2.6,57,381,-32.0,0
2600,255,200,500,500,500,500,0,999999,17.6,2.5,57,404,-32.0,0
1300,255,5000,300,300,300,300,0,999999,17.6,3.2,34,186,-32.5,0
1300,255,1000,300,300,300,300,0,999999,17.6,2.0,34,294,-32.5,0
1300,255,500,300,300,300,300,0,999998,17.6,1.9,34,317,-32.5,0
650,255,5000,300,300,300,300,0,999999,17.6,3.9,34,155,-32.0,0
650,255,1000,300,300,300,300,0,999999,17.6,2.7,34,223,-32.0,0
650,255,500,300,300,300,300,0,999999,17.6,2.5,34,236,-32.0,0
2600,511,1000,300,300,300,300,0,999999,17.5,2.2,70,536,-32.0,0
2600,511,500,300,300,300,300,0,0,17.5,2.1,70,574,-32.0,0
