config_idx,sf,bw_khz,pa_dbm,tx_sent,tx_sent_ok,rx_count,rx_crc_err,avg_rssi,min_rssi,max_rssi,avg_snr,min_snr,max_snr,bit_err_total,bytes_bad_total,pkt_loss_pct
0,7,125,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
1,8,125,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
2,9,125,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
3,10,125,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
4,11,125,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
5,12,125,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
6,7,250,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
7,8,250,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
8,9,250,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
9,7,500,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
10,8,500,10,0,0,0,0,0,0,0,0,0,0,0,0,100.0
11,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
12,8,125,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
13,9,125,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
