time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,timestamp_ms,time_offset,distance,starttimestamp_ms,profile_name,battery_charging
2026-07-24T12:35:54.000Z,32.63899721670896,-16.946303509175777,146.0,30.102041,78.9,0.14999999,21,gps,0.6,0.8,1.0,38.9,,,,77,,1784896554000,2026-07-24T13:35:54.000+01:00,0.0,1784896547575,Default Profile,false
2026-07-24T12:36:48.000Z,32.63898476958275,-16.94633049890399,157.0,33.67347,332.7,1.4599999,17,gps,1.0,1.2,1.6,38.9,,,,77,,1784896608000,2026-07-24T13:36:48.000+01:00,2.8813811005653758,1784896547575,Default Profile,false
2026-07-24T12:39:35.000Z,32.638988248072565,-16.946078035980463,152.0,25.510204,213.0,0.78,13,gps,1.2,1.8,2.2,38.9,,,,77,,1784896775000,2026-07-24T13:39:35.000+01:00,26.524074270074586,1784896547575,Default Profile,false
2026-07-24T12:39:43.000Z,32.63915106654167,-16.946718832477927,123.0,16.32653,267.2,1.63,13,gps,0.8,1.0,1.2,38.9,,,,77,,1784896783000,2026-07-24T13:39:43.000+01:00,89.19732788704707,1784896547575,Default Profile,false
2026-07-24T12:39:51.000Z,32.63905589003116,-16.94662068039179,110.0,13.265306,78.1,1.6899999,15,gps,,,,38.9,,,,77,,1784896791000,2026-07-24T13:39:51.000+01:00,103.21405558148996,1784896547575,Default Profile,false
2026-07-24T12:39:59.000Z,32.63884948566556,-16.946602910757065,113.0,16.836735,92.1,0.78,20,gps,,,,38.9,,,,77,,1784896799000,2026-07-24T13:39:59.000+01:00,126.22540713734166,1784896547575,Default Profile,false
2026-07-24T12:40:15.000Z,32.638724679127336,-16.94659343920648,139.0,30.102041,151.1,1.77,11,gps,1.0,1.4,1.8,38.9,,,,77,,1784896815000,2026-07-24T13:40:15.000+01:00,140.13157045371116,1784896547575,Default Profile,false
2026-07-24T12:40:23.000Z,32.6387309236452,-16.94654105231166,129.0,18.367348,149.7,1.7099999,11,gps,,,,38.9,,,,77,,1784896823000,2026-07-24T13:40:23.000+01:00,145.08576590123732,1784896547575,Default Profile,false
2026-07-24T12:40:30.000Z,32.638827064074576,-16.946524204686284,141.0,23.469387,123.9,1.31,12,gps,0.6,1.0,1.2,38.9,,,,77,,1784896830000,2026-07-24T13:40:30.000+01:00,155.89186377199408,1784896547575,Default Profile,false
2026-07-24T12:40:36.689Z,32.63872363138944,-16.94641599431634,139.0,12.244898,119.9,1.48,0,gps,0.8,2.0,2.2,38.9,,,,77,,1784896836689,2026-07-24T13:40:36.689+01:00,171.21969229137102,1784896547575,Default Profile,false
2026-07-24T12:40:43.371Z,32.638532146811485,-16.946309292688966,123.0,10.714286,110.3,1.36,0,gps,,,,38.9,,,,77,,1784896843371,2026-07-24T13:40:43.371+01:00,194.7393967664202,1784896547575,Default Profile,false
2026-07-24T12:40:51.000Z,32.638375740498304,-16.946267215535045,120.0,20.918367,89.1,1.77,9,gps,,,,38.9,,,,77,,1784896851000,2026-07-24T13:40:51.000+01:00,212.57168539103884,1784896547575,Default Profile,false
2026-07-24T12:40:57.718Z,32.63819263782352,-16.94609111174941,112.0,20.408163,115.9,2.11,0,gps,0.8,1.6,1.8,38.9,,,,77,,1784896857718,2026-07-24T13:40:57.718+01:00,238.77176384038086,1784896547575,Default Profile,false
2026-07-24T12:41:05.000Z,32.63815286569297,-16.946057751774788,119.0,35.204082,91.0,1.5,13,gps,0.8,1.4,1.6,38.9,,,,77,,1784896865000,2026-07-24T13:41:05.000+01:00,244.1861628392133,1784896547575,Default Profile,false
2026-07-24T12:41:13.000Z,32.63777852989733,-16.945786764845252,117.0,14.795918,118.9,0.85999995,15,gps,0.8,1.2,1.4,38.9,,,,77,,1784896873000,2026-07-24T13:41:13.000+01:00,292.93484364258103,1784896547575,Default Profile,false
2026-07-24T12:41:20.000Z,32.63798019848764,-16.94594258442521,118.0,21.938776,63.9,1.53,10,gps,0.6,1.0,1.2,38.9,,,,77,,1784896880000,2026-07-24T13:41:20.000+01:00,319.68816950140996,1784896547575,Default Profile,false
2026-07-24T12:41:28.000Z,32.63805877882987,-16.946029420942068,120.0,27.55102,159.0,0.90999997,9,gps,1.0,1.4,1.6,38.9,,,,77,,1784896888000,2026-07-24T13:41:28.000+01:00,331.6239351912459,1784896547575,Default Profile,false
