timestamp_iso,cycle,phase,name,freq_mhz,modulation,bitrate_kbps,spreading_factor,bandwidth_khz,tx_sent,rx_received,rx_unique,lost,per_pct,rssi_avg_dbm,rssi_min_dbm,crc_errors,lat,lon,sats,fix_quality,utc_sec,distance_m,throughput_kbps,goodput_kbps,goodput_efficiency_pct,effective_throughput_kbps,theoretical_max_kbps,throughput_efficiency_pct,gps_time_delta_ms,environment,notes
2026-07-24T10:33:20.625066+00:00,-1,4,HF-FLRC-1300,2440,FLRC,1300,0,0,200,40,0,200,100.0,-55.0,-56.0,0,9.77952,127.3232,38297,6,1328640430,1.0,,0.0,0.0,0.0,1300,0.0,-1,indoor,
2026-07-24T10:33:46.636361+00:00,-1,5,HF-FLRC-650,2440,FLRC,650,0,0,200,165,0,200,100.0,-56.0,-56.0,0,-160.35954,-10.72792,16533,152,3106689640,1.0,,0.0,0.0,0.0,650,0.0,-1,indoor,
2026-07-24T10:34:39.679962+00:00,-1,7,LF-LoRa-SF7,868,LORA,0,7,250,50,0,0,50,100.0,0.0,0.0,0,0.0,0.0,0,,,1.0,,0.0,0.0,0.0,6800,0.0,-1,indoor,
2026-07-24T10:35:59.878796+00:00,0,0,HF-LoRa-SF7,2440,LORA,0,7,812,50,35,0,50,100.0,-30.0,-32.0,0,-156.63348,-136.42188,43177,171,3082073514,1.0,,0.0,0.0,0.0,6800,0.0,-1,indoor,
2026-07-24T10:41:26.311231+00:00,0,5,HF-FLRC-650,2440,FLRC,650,0,0,200,17,0,200,100.0,-55.0,-56.0,0,54.47584,-120.99191,2841,208,616894602,1.0,,0.0,0.0,0.0,650,0.0,-1,indoor,
2026-07-24T10:48:34.380238+00:00,0,2,HF-LoRa-SF12,2440,LORA,0,12,812,30,0,0,30,100.0,0.0,0.0,0,0.0,0.0,0,0,0,1.0,,0.0,0.0,0.0,210,0.0,-1,indoor,
2026-07-24T10:49:01.407628+00:00,0,3,HF-FLRC-2600,2440,FLRC,2600,0,0,200,218,0,200,100.0,-38.0,-54.0,0,-200.45398,145.54785,20361,254,869142046,1.0,,0.0,0.0,0.0,2600,0.0,-1,indoor,
2026-07-24T10:49:27.091397+00:00,0,4,HF-FLRC-1300,2440,FLRC,1300,0,0,200,157,1,199,99.5,-42.0,-56.0,0,-197.91942,-95.96177,59352,64,991413406,1.0,0.255,0.24,0.0,0.26,1300,0.0,-1,indoor,
2026-07-24T10:49:52.902962+00:00,0,5,HF-FLRC-650,2440,FLRC,650,0,0,200,155,0,200,100.0,-56.0,-56.0,0,6.33071,-45.14934,59367,111,784228474,1.0,,0.0,0.0,0.0,650,0.0,-1,indoor,
2026-07-24T10:50:19.923287+00:00,0,6,HF-FLRC-325,2440,FLRC,325,0,0,200,30,1,199,99.5,-53.0,-58.0,0,-102.87429,-1.71501,55058,162,952259803,1.0,0.255,0.24,0.1,0.26,325,0.1,-1,indoor,
2026-07-24T10:50:45.955937+00:00,0,7,LF-LoRa-SF7,868,LORA,0,7,250,50,2,0,50,100.0,-103.0,-104.0,0,51.2193,177.85338,40149,41,3796561328,1.0,,0.0,0.0,0.0,6800,0.0,-1,indoor,
2026-07-24T10:54:40.800784+00:00,0,10,LF-FLRC-2600,868,FLRC,2600,0,0,200,0,0,200,100.0,0.0,0.0,0,0.0,0.0,0,0,0,1.0,,0.0,0.0,0.0,2600,0.0,-1,indoor,
2026-07-24T10:55:33.988030+00:00,0,12,LF-FLRC-650,868,FLRC,650,0,0,200,1,0,200,100.0,-58.0,-58.0,0,-2.55382,11.01238,38910,113,2266301784,1.0,,0.0,0.0,0.0,650,0.0,-1,indoor,
2026-07-24T10:56:00.015260+00:00,0,13,LF-FLRC-325,868,FLRC,325,0,0,200,1,0,200,100.0,-60.0,-60.0,0,138.64771,192.76349,31827,85,1244143687,1.0,,0.0,0.0,0.0,325,0.0,-1,indoor,
