timestamp_iso,cycle,phase,name,freq_mhz,modulation,bitrate_kbps,spreading_factor,bandwidth_khz,tx_sent,rx_received,rx_unique,lost,per_pct,rssi_avg_dbm,rssi_min_dbm,crc_errors,lat,lon,sats,fix_quality,utc_sec,distance_m,throughput_kbps,goodput_kbps,goodput_efficiency_pct,effective_throughput_kbps,theoretical_max_kbps,throughput_efficiency_pct,gps_time_delta_ms,environment,notes
2026-07-24T12:18:28.987221+00:00,-1,4,HF-FLRC-1300,2440,FLRC,1300,0,0,200,8,0,200,100.0,-44.0,-53.0,0,76.50024,-87.41771,42931,76,3755520719,1.0,,0.0,0.0,0.0,1300,0.0,-1,indoor,
2026-07-24T12:18:35.989815+00:00,-1,5,HF-FLRC-650,2440,FLRC,650,0,0,200,439,4,196,98.0,-46.0,-54.0,0,-208.30417,-196.57466,21940,163,1180135591,1.0,1.02,0.98,0.2,1.02,650,0.2,-1,indoor,
2026-07-24T12:18:43.992373+00:00,-1,6,HF-FLRC-325,2440,FLRC,325,0,0,200,235,0,200,100.0,-40.0,-54.0,0,57.01881,-180.28703,1584,92,698432580,1.0,,0.0,0.0,0.0,325,0.0,-1,indoor,
2026-07-24T12:18:52.995639+00:00,-1,7,LF-LoRa-SF7,868,LORA,0,7,250,50,47,47,3,6.0,-30.0,-30.0,0,32.63893,-16.94664,6,1,1784895531,1.0,3.9793333333333334,3.35,0.0,3.98,6800,0.1,-1,indoor,
2026-07-24T12:19:12.002099+00:00,-1,8,LF-LoRa-SF9,868,LORA,0,9,250,50,46,46,4,8.0,-27.0,-31.0,0,32.63885,-16.94661,5,1,1784895551,1.0,1.86944,1.58,0.0,1.87,3400,0.1,-1,indoor,
2026-07-24T12:20:34.827942+00:00,-1,13,LF-FLRC-325,868,FLRC,325,0,0,200,114,114,86,43.0,-42.0,-42.0,0,32.63895,-16.94655,7,1,1784895633,1.0,29.07,27.93,8.6,29.07,325,8.9,-1,indoor,
2026-07-24T12:20:49.832820+00:00,-1,0,HF-LoRa-SF7,2440,LORA,0,7,812,50,48,48,2,4.0,-31.0,-32.0,0,32.63894,-16.94655,8,1,1784895648,1.0,3.2512,2.74,0.0,3.25,6800,0.0,-1,indoor,
2026-07-24T12:21:04.838835+00:00,-1,1,HF-LoRa-SF9,2440,LORA,0,9,812,50,46,46,4,8.0,-28.0,-30.0,0,32.63888,-16.94652,5,1,1784895662,1.0,3.115733333333333,2.63,0.1,3.12,3400,0.1,-1,indoor,
2026-07-24T12:21:34.934509+00:00,-1,2,HF-LoRa-SF12,2440,LORA,0,12,812,30,0,0,30,100.0,0.0,0.0,0,0.0,0.0,0,0,0,1.0,,0.0,0.0,0.0,210,0.0,-1,indoor,
2026-07-24T12:21:42.937091+00:00,-1,3,HF-FLRC-2600,2440,FLRC,2600,0,0,200,182,2,198,99.0,-41.0,-52.0,0,-193.56909,41.37938,27489,130,4062222774,1.0,0.51,0.49,0.0,0.51,2600,0.0,-1,indoor,
2026-07-24T12:21:50.940133+00:00,-1,4,HF-FLRC-1300,2440,FLRC,1300,0,0,200,256,1,199,99.5,-41.0,-54.0,0,-205.7213,35.33842,60580,30,1890592727,1.0,0.255,0.24,0.0,0.26,1300,0.0,-1,indoor,
2026-07-24T12:21:58.943514+00:00,-1,5,HF-FLRC-650,2440,FLRC,650,0,0,200,451,2,198,99.0,-47.0,-54.0,0,76.53074,79.33536,6027,7,613520238,1.0,0.51,0.49,0.1,0.51,650,0.1,-1,indoor,
2026-07-24T12:22:06.946250+00:00,-1,6,HF-FLRC-325,2440,FLRC,325,0,0,200,219,2,198,99.0,-40.0,-55.0,0,21.9851,76.76172,48960,182,210880190,1.0,0.51,0.49,0.2,0.51,325,0.2,-1,indoor,
2026-07-24T12:22:14.949033+00:00,-1,7,LF-LoRa-SF7,868,LORA,0,7,250,50,44,43,7,14.0,-31.0,-122.0,0,32.63906,-16.94647,6,1,1784895733,1.0,3.6406666666666667,3.07,0.0,3.64,6800,0.1,-1,indoor,
2026-07-24T12:22:34.956914+00:00,-1,8,LF-LoRa-SF9,868,LORA,0,9,250,50,48,48,2,4.0,-26.0,-31.0,0,32.63894,-16.94645,7,1,1784895753,1.0,1.95072,1.64,0.0,1.95,3400,0.1,-1,indoor,
