=== POST-GATE CAPTURE Sun Jul 26 02:18:31 AM UTC 2026 ===
TIME_SYNCED utc=1785032311 offset=1785031600
TIME_SYNCED utc=1785032312 offset=1785031599
TIME_SYNCED utc=1785032314 offset=1785031599
SYNC_NOT_FOUND first4=7E5C67D9
SYNC_NOT_FOUND first4=5EB5292F
TIME_SYNCED utc=1785032315 offset=1785031599
SYNC_OFFSET phase=55 off=1 prev=-1
APP_CRC_FAIL exp=C010 got=A4FE seq=0 syncOff=1
APP_CRC_FAIL exp=C000 got=A4FE seq=1 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=2 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=3 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=4 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=5 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=6 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=7 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=8 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=9 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=10 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=11 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=12 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=13 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=14 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=15 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=16 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=17 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=18 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=19 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=20 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=21 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=22 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=23 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=24 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=25 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=26 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=27 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=28 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=29 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=30 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=31 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=32 syncOff=1
TIME_SYNCED utc=1785032316 offset=1785031599
APP_CRC_FAIL exp=C010 got=A4FE seq=33 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=34 syncOff=1
SYNC_NOT_FOUND first4=C0A412C5
APP_CRC_FAIL exp=C010 got=A4FE seq=35 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=36 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=37 syncOff=1
APP_CRC_FAIL exp=C000 got=A4FE seq=38 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=39 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=40 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=41 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=42 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=43 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=44 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=45 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=46 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=47 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=48 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=49 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=50 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=51 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=52 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=53 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=54 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=55 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=56 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=57 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=58 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=59 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=60 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=61 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=62 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=63 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=64 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=65 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=66 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=67 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=68 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=69 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=70 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=71 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=72 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=73 syncOff=1
APP_CRC_FAIL exp=C010 got=A4FE seq=74 syncOff=1
APP_CRC_FAIL exp=4010 got=473E seq=0 syncOff=1
APP_CRC_FAIL exp=4010 got=473E seq=1 syncOff=1
APP_CRC_FAIL exp=4010 got=473E seq=2 syncOff=1
APP_CRC_FAIL exp=4010 got=473E seq=3 syncOff=1
APP_CRC_FAIL exp=4010 got=473E seq=4 syncOff=1
APP_CRC_FAIL exp=4010 got=473E seq=5 syncOff=1
APP_CRC_FAIL exp=4010 got=473E seq=6 syncOff=1
