session,config_idx,label,n_pkts,sent_ok,mod,sf_or_br,bw,pa_dbm,freq_hz,plen,gap_us,t0_offset_s,actual_start_ts,error
# DISTRIBUTED_TX_MODE session=2608231720 t0=2026-08-23T22:50:00 port=/dev/ttyUSB3 probe=203584200D2D0D42
2608231720,0,FLRC-650 LEN64,10,12,flrc,650,0,10,868000000,64,5000,120,2026-08-23T22:52:00,
2608231720,1,FLRC-2600 LEN64,10,12,flrc,2600,0,10,868000000,64,5000,162.1,2026-08-23T22:52:42,
2608231720,2,LoRa-SF7 BW125 LEN64,10,12,lora,7,125,10,868000000,64,10000,204.1,2026-08-23T22:53:24,
2608231720,3,LoRa-SF12 BW125 LEN64,10,12,lora,12,125,10,868000000,64,10000,247.4,2026-08-23T22:54:07,
2608231720,4,FLRC-650 LEN255,10,12,flrc,650,0,10,868000000,255,5000,317.4,2026-08-23T22:55:17,
# DISTRIBUTED_TX_MODE session=2608231725 t0=2026-08-23T22:55:00 port=/dev/ttyUSB3 probe=203584200D2D0D42
2608231725,0,FLRC-650 LEN64,10,12,flrc,650,0,10,868000000,64,5000,120,2026-08-23T22:57:00,
2608231725,1,FLRC-2600 LEN64,10,12,flrc,2600,0,10,868000000,64,5000,162.1,2026-08-23T22:57:42,
2608231725,2,LoRa-SF7 BW125 LEN64,10,12,lora,7,125,10,868000000,64,10000,204.1,2026-08-23T22:58:24,
2608231725,3,LoRa-SF12 BW125 LEN64,10,12,lora,12,125,10,868000000,64,10000,247.4,2026-08-23T22:59:07,
2608231725,4,FLRC-650 LEN255,10,12,flrc,650,0,10,868000000,255,5000,317.4,2026-08-23T23:00:17,
