config_idx,label,n_full,k_full,per_full,gt_verdict,n_sprt,k_sprt,sprt_verdict,sprt_stop_n,pkts_saved,ci_lo_sprt,ci_hi_sprt,ci_lo_full,ci_hi_full,ci_overlap,match
0,SF5 BW125 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
1,SF6 BW125 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
2,SF7 BW125 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
3,SF8 BW125 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
4,SF9 BW125 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
5,SF10 BW125 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
6,SF11 BW125 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
7,SF12 BW125 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
8,SF5 BW250 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
9,SF6 BW250 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
10,SF7 BW250 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
11,SF8 BW250 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
12,SF9 BW250 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
13,SF10 BW250 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
14,SF11 BW250 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
15,SF12 BW250 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
16,SF5 BW500 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
17,SF6 BW500 PA10,50,0,0.0000,CLEAN,15,0,CLEAN,15,35,0.0,0.2039,0.0,0.0713,True,True
