idx,label,pkt_idx,session,config,replicate,ts_ms,rssi_dbm,snr_db,crc_ok,bit_err,pcrc16
0,SF5 BW125 PA10,0,2608211621,0,1,5822,-32.0,10.0,1,0,24601
0,SF5 BW125 PA10,1,2608211621,0,1,5919,-32.0,11.0,1,0,14761
0,SF5 BW125 PA10,2,2608211621,0,1,6015,-32.0,10.0,1,0,10692
0,SF5 BW125 PA10,3,2608211621,0,1,6111,-32.0,11.0,1,0,28788
0,SF5 BW125 PA10,4,2608211621,0,1,6207,-32.0,10.0,1,0,62371
0,SF5 BW125 PA10,5,2608211621,0,1,6303,-32.0,10.0,1,0,43539
0,SF5 BW125 PA10,6,2608211621,0,1,6399,-32.0,10.0,1,0,47742
0,SF5 BW125 PA10,7,2608211621,0,1,6496,-32.0,10.0,1,0,58318
0,SF5 BW125 PA10,8,2608211621,0,1,6592,-32.0,11.0,1,0,22348
0,SF5 BW125 PA10,9,2608211621,0,1,6688,-32.0,10.0,1,0,3836
0,SF5 BW125 PA10,10,2608211621,0,1,6784,-32.0,10.0,1,0,7825
0,SF5 BW125 PA10,11,2608211621,0,1,6880,-32.0,9.0,1,0,18209
0,SF5 BW125 PA10,12,2608211621,0,1,6976,-32.0,9.0,1,0,50422
0,SF5 BW125 PA10,13,2608211621,0,1,7072,-32.0,11.0,1,0,40262
0,SF5 BW125 PA10,14,2608211621,0,1,7169,-32.0,10.0,1,0,36139
0,SF5 BW125 PA10,15,2608211621,0,1,7265,-32.0,11.0,1,0,54427
0,SF5 BW125 PA10,16,2608211621,0,1,7361,-32.0,10.0,1,0,3763
0,SF5 BW125 PA10,17,2608211621,0,1,7457,-32.0,11.0,1,0,22275
0,SF5 BW125 PA10,18,2608211621,0,1,7553,-32.0,10.0,1,0,18286
0,SF5 BW125 PA10,19,2608211621,0,1,7649,-32.0,10.0,1,0,7902
0,SF5 BW125 PA10,20,2608211621,0,1,7745,-32.0,10.0,1,0,40201
0,SF5 BW125 PA10,21,2608211621,0,1,7842,-32.0,9.0,1,0,50361
0,SF5 BW125 PA10,22,2608211621,0,1,7938,-32.0,10.0,1,0,54484
0,SF5 BW125 PA10,23,2608211621,0,1,8034,-32.0,9.0,1,0,36196
0,SF5 BW125 PA10,24,2608211621,0,1,8130,-32.0,10.0,1,0,14822
0,SF5 BW125 PA10,25,2608211621,0,1,8226,-32.0,10.0,1,0,24662
0,SF5 BW125 PA10,26,2608211621,0,1,8322,-32.0,10.0,1,0,28731
0,SF5 BW125 PA10,27,2608211621,0,1,8419,-32.0,10.0,1,0,10635
0,SF5 BW125 PA10,28,2608211621,0,1,8515,-32.0,10.0,1,0,43612
0,SF5 BW125 PA10,29,2608211621,0,1,8611,-32.0,11.0,1,0,62444
0,SF5 BW125 PA10,30,2608211621,0,1,8707,-32.0,10.0,1,0,58241
0,SF5 BW125 PA10,31,2608211621,0,1,8803,-32.0,10.0,1,0,47665
0,SF5 BW125 PA10,32,2608211621,0,1,8899,-32.0,10.0,1,0,48461
0,SF5 BW125 PA10,33,2608211621,0,1,8995,-32.0,10.0,1,0,58621
0,SF5 BW125 PA10,34,2608211621,0,1,9092,-32.0,10.0,1,0,62608
0,SF5 BW125 PA10,35,2608211621,0,1,9188,-32.0,10.0,1,0,44320
0,SF5 BW125 PA10,36,2608211621,0,1,9284,-32.0,10.0,1,0,12023
0,SF5 BW125 PA10,37,2608211621,0,1,9380,-32.0,10.0,1,0,30535
0,SF5 BW125 PA10,38,2608211621,0,1,9476,-32.0,10.0,1,0,26410
0,SF5 BW125 PA10,39,2608211621,0,1,9572,-32.0,11.0,1,0,16026
0,SF5 BW125 PA10,40,2608211621,0,1,9668,-32.0,11.0,1,0,35352
0,SF5 BW125 PA10,41,2608211621,0,1,9765,-32.0,10.0,1,0,54184
0,SF5 BW125 PA10,42,2608211621,0,1,9861,-32.0,10.0,1,0,50117
0,SF5 BW125 PA10,43,2608211621,0,1,9957,-32.0,9.0,1,0,39541
0,SF5 BW125 PA10,44,2608211621,0,1,10053,-32.0,9.0,1,0,6562
0,SF5 BW125 PA10,45,2608211621,0,1,10149,-32.0,10.0,1,0,16402
0,SF5 BW125 PA10,46,2608211621,0,1,10245,-32.0,9.0,1,0,20607
0,SF5 BW125 PA10,47,2608211621,0,1,10342,-32.0,10.0,1,0,2511
0,SF5 BW125 PA10,48,2608211621,0,1,10438,-32.0,10.0,1,0,54247
0,SF5 BW125 PA10,49,2608211621,0,1,10534,-32.0,12.0,1,0,35415
1,SF6 BW125 PA10,0,2608211621,1,1,5913,-32.0,13.0,1,0,24601
1,SF6 BW125 PA10,1,2608211621,1,1,6072,-32.0,13.0,1,0,14761
1,SF6 BW125 PA10,2,2608211621,1,1,6231,-32.0,13.0,1,0,10692
1,SF6 BW125 PA10,3,2608211621,1,1,6390,-32.0,13.0,1,0,28788
1,SF6 BW125 PA10,4,2608211621,1,1,6549,-32.0,13.0,1,0,62371
1,SF6 BW125 PA10,5,2608211621,1,1,6708,-32.0,13.0,1,0,43539
1,SF6 BW125 PA10,6,2608211621,1,1,6867,-32.0,13.0,1,0,47742
1,SF6 BW125 PA10,7,2608211621,1,1,7026,-32.0,13.0,1,0,58318
1,SF6 BW125 PA10,8,2608211621,1,1,7185,-32.0,14.0,1,0,22348
1,SF6 BW125 PA10,9,2608211621,1,1,7344,-32.0,13.0,1,0,3836
1,SF6 BW125 PA10,10,2608211621,1,1,7503,-32.0,13.0,1,0,7825
1,SF6 BW125 PA10,11,2608211621,1,1,7662,-32.0,13.0,1,0,18209
1,SF6 BW125 PA10,12,2608211621,1,1,7821,-32.0,13.0,1,0,50422
1,SF6 BW125 PA10,13,2608211621,1,1,7980,-32.0,13.0,1,0,40262
1,SF6 BW125 PA10,14,2608211621,1,1,8139,-32.0,13.0,1,0,36139
1,SF6 BW125 PA10,15,2608211621,1,1,8298,-32.0,13.0,1,0,54427
1,SF6 BW125 PA10,16,2608211621,1,1,8457,-32.0,14.0,1,0,3763
1,SF6 BW125 PA10,17,2608211621,1,1,8617,-32.0,13.0,1,0,22275
1,SF6 BW125 PA10,18,2608211621,1,1,8776,-32.0,14.0,1,0,18286
1,SF6 BW125 PA10,19,2608211621,1,1,8935,-32.0,13.0,1,0,7902
1,SF6 BW125 PA10,20,2608211621,1,1,9094,-32.0,13.0,1,0,40201
1,SF6 BW125 PA10,21,2608211621,1,1,9253,-32.0,13.0,1,0,50361
1,SF6 BW125 PA10,22,2608211621,1,1,9412,-32.0,13.0,1,0,54484
1,SF6 BW125 PA10,23,2608211621,1,1,9571,-32.0,12.0,1,0,36196
1,SF6 BW125 PA10,24,2608211621,1,1,9730,-32.0,13.0,1,0,14822
1,SF6 BW125 PA10,25,2608211621,1,1,9889,-32.0,13.0,1,0,24662
1,SF6 BW125 PA10,26,2608211621,1,1,10048,-32.0,13.0,1,0,28731
1,SF6 BW125 PA10,27,2608211621,1,1,10207,-32.0,13.0,1,0,10635
1,SF6 BW125 PA10,28,2608211621,1,1,10366,-32.0,13.0,1,0,43612
1,SF6 BW125 PA10,29,2608211621,1,1,10525,-32.0,13.0,1,0,62444
1,SF6 BW125 PA10,30,2608211621,1,1,10684,-32.0,12.0,1,0,58241
1,SF6 BW125 PA10,31,2608211621,1,1,10843,-32.0,12.0,1,0,47665
1,SF6 BW125 PA10,32,2608211621,1,1,11002,-32.0,13.0,1,0,48461
1,SF6 BW125 PA10,33,2608211621,1,1,11161,-32.0,13.0,1,0,58621
1,SF6 BW125 PA10,34,2608211621,1,1,11320,-32.0,13.0,1,0,62608
1,SF6 BW125 PA10,35,2608211621,1,1,11479,-32.0,13.0,1,0,44320
1,SF6 BW125 PA10,36,2608211621,1,1,11638,-32.0,13.0,1,0,12023
1,SF6 BW125 PA10,37,2608211621,1,1,11797,-32.0,13.0,1,0,30535
1,SF6 BW125 PA10,38,2608211621,1,1,11956,-32.0,13.0,1,0,26410
1,SF6 BW125 PA10,39,2608211621,1,1,12115,-32.0,13.0,1,0,16026
1,SF6 BW125 PA10,40,2608211621,1,1,12274,-32.0,13.0,1,0,35352
1,SF6 BW125 PA10,41,2608211621,1,1,12433,-32.0,13.0,1,0,54184
1,SF6 BW125 PA10,42,2608211621,1,1,12592,-32.0,12.0,1,0,50117
1,SF6 BW125 PA10,43,2608211621,1,1,12751,-32.0,13.0,1,0,39541
1,SF6 BW125 PA10,44,2608211621,1,1,12910,-32.0,14.0,1,0,6562
