idx,label,mod,sf,bw,br,pa,freq,plen,gap_us,toa_s,rx_pkts,crc_err,rssi_avg,rssi_min,rssi_max,snr_avg,snr_min,bit_err_total,tx_done,error
0,SF5 BW125 PA10,lora,5,125,,10,868000000,64,52692,0.04,50,0,-40.0,-40.0,-40.0,9.9,9.0,0,True,
1,SF6 BW125 PA10,lora,6,125,,10,868000000,64,88097,0.069,50,0,-40.0,-40.0,-40.0,12.8,12.0,0,True,
2,SF7 BW125 PA10,lora,7,125,,10,868000000,64,146619,0.118,50,0,-40.0,-40.0,-40.0,14.6,14.0,0,True,
3,SF8 BW125 PA10,lora,8,125,,10,868000000,64,263662,0.216,50,0,-40.0,-40.0,-40.0,15.0,15.0,0,True,
4,SF9 BW125 PA10,lora,9,125,,10,868000000,64,473172,0.39,50,0,-40.0,-40.0,-40.0,12.2,12.0,0,True,
5,SF10 BW125 PA10,lora,10,125,,10,868000000,64,843041,0.698,50,0,-40.0,-40.0,-40.0,13.0,12.0,0,True,
6,SF11 BW125 PA10,lora,11,125,,10,868000000,64,1582779,1.315,50,0,-40.0,-40.0,-40.0,9.0,8.0,0,True,
7,SF12 BW125 PA10,lora,12,125,,10,868000000,64,2963950,2.466,50,0,-40.0,-40.0,-40.0,10.3,10.0,0,True,
8,SF5 BW250 PA10,lora,5,250,,10,868000000,64,28846,0.02,50,0,-39.9,-40.0,-39.0,10.0,9.0,0,True,
9,SF6 BW250 PA10,lora,6,250,,10,868000000,64,46548,0.035,50,0,-40.0,-40.0,-40.0,12.8,12.0,0,True,
10,SF7 BW250 PA10,lora,7,250,,10,868000000,64,75809,0.059,50,0,-40.0,-40.0,-40.0,14.3,14.0,0,True,
11,SF8 BW250 PA10,lora,8,250,,10,868000000,64,134331,0.108,50,0,-40.0,-40.0,-40.0,15.0,15.0,0,True,
12,SF9 BW250 PA10,lora,9,250,,10,868000000,64,239086,0.195,50,0,-40.0,-40.0,-40.0,12.0,12.0,0,True,
13,SF10 BW250 PA10,lora,10,250,,10,868000000,64,424020,0.349,50,0,-40.0,-40.0,-40.0,12.0,12.0,0,True,
14,SF11 BW250 PA10,lora,11,250,,10,868000000,64,793889,0.657,50,0,-40.0,-40.0,-40.0,8.0,8.0,0,True,
15,SF12 BW250 PA10,lora,12,250,,10,868000000,64,1484475,1.233,50,0,-40.0,-40.0,-40.0,9.0,9.0,0,True,
16,SF5 BW500 PA10,lora,5,500,,10,868000000,64,16923,0.01,50,0,-39.0,-39.0,-39.0,9.9,9.0,0,True,
17,SF6 BW500 PA10,lora,6,500,,10,868000000,64,25774,0.017,50,0,-39.0,-39.0,-39.0,12.8,12.0,0,True,
18,SF7 BW500 PA10,lora,7,500,,10,868000000,64,40404,0.03,50,0,-39.0,-39.0,-39.0,14.6,14.0,0,True,
19,SF8 BW500 PA10,lora,8,500,,10,868000000,64,69665,0.054,50,0,-39.0,-39.0,-39.0,15.8,15.0,0,True,
20,SF9 BW500 PA10,lora,9,500,,10,868000000,64,122043,0.098,50,0,-39.0,-39.0,-39.0,13.0,13.0,0,True,
21,SF10 BW500 PA10,lora,10,500,,10,868000000,64,214510,0.175,50,0,-39.0,-39.0,-39.0,12.9,12.0,0,True,
22,SF11 BW500 PA10,lora,11,500,,10,868000000,64,399444,0.329,50,0,-39.0,-39.0,-39.0,9.0,9.0,0,True,
23,SF12 BW500 PA10,lora,12,500,,10,868000000,64,744737,0.616,50,0,-39.0,-39.0,-39.0,10.0,10.0,0,True,
24,SF8 BW125 PA0,lora,8,125,,0,868000000,64,263662,0.216,50,0,-49.4,-50.0,-49.0,16.3,16.0,0,True,
25,SF8 BW125 PA3,lora,8,125,,3,868000000,64,263662,0.216,50,0,-46.0,-46.0,-46.0,16.6,15.0,0,True,
26,SF8 BW125 PA6,lora,8,125,,6,868000000,64,263662,0.216,50,0,-44.0,-44.0,-44.0,16.2,16.0,0,True,
27,SF8 BW125 PA10 L16,lora,8,125,,10,868000000,16,116206,0.093,50,0,-40.0,-40.0,-40.0,15.0,15.0,0,True,
28,SF8 BW125 PA10 L128,lora,8,125,,10,868000000,128,460270,0.379,50,0,-40.0,-40.0,-40.0,15.0,15.0,0,True,
29,SF8 BW125 PA10 L255,lora,8,125,,10,868000000,255,853486,0.707,50,0,-40.0,-40.0,-40.0,15.0,15.0,0,True,
30,SF8 BW125 PA10 L511,lora,8,125,,10,868000000,511,1639918,0,0,0,,,,,,0,False,
31,FLRC 260k pa5,flrc,,,260,5,868000000,64,10000,0.004,50,50,-84.4,-87.0,-76.0,0.0,0.0,0,True,
32,FLRC 325k pa5,flrc,,,325,5,868000000,64,10000,0.004,50,50,-83.3,-87.0,-81.0,0.0,0.0,0,True,
33,FLRC 520k pa5,flrc,,,520,5,868000000,64,10000,0.003,50,50,-73.4,-84.0,-69.0,0.0,0.0,0,True,
34,FLRC 650k pa5,flrc,,,650,5,868000000,64,10000,0.002,50,50,-76.1,-81.0,-70.0,0.0,0.0,0,True,
35,FLRC 1040k pa5,flrc,,,1040,5,868000000,64,10000,0.002,50,50,-78.6,-80.0,-78.0,0.0,0.0,0,True,
36,FLRC 1300k pa5,flrc,,,1300,5,868000000,64,10000,0.002,50,50,-78.5,-79.0,-78.0,0.0,0.0,0,True,
37,FLRC 2080k pa5,flrc,,,2080,5,868000000,64,10000,0.001,50,50,-75.9,-78.0,-75.0,0.0,0.0,0,True,
38,FLRC 2600k pa5,flrc,,,2600,5,868000000,64,10000,0.001,50,50,-75.6,-77.0,-75.0,0.0,0.0,0,True,
39,FLRC 650k pa0,flrc,,,650,0,868000000,64,10000,0.002,50,50,-86.7,-94.0,-79.0,0.0,0.0,0,True,
40,FLRC 650k pa1,flrc,,,650,1,868000000,64,10000,0.002,50,50,-84.5,-94.0,-80.0,0.0,0.0,0,True,
41,FLRC 650k pa3,flrc,,,650,3,868000000,64,10000,0.002,50,50,-76.9,-94.0,-69.0,0.0,0.0,0,True,
42,FLRC 650k pa7,flrc,,,650,7,868000000,64,10000,0.002,50,50,-77.3,-87.0,-70.0,0.0,0.0,0,True,
43,FLRC 650k pa10,flrc,,,650,10,868000000,64,10000,0.002,50,50,-81.3,-88.0,-79.0,0.0,0.0,0,True,
44,SF8 BW125 @ 863.000MHz,lora,8,125,,10,863000000,64,263662,0.216,50,0,-40.0,-40.0,-40.0,17.0,16.0,0,True,
45,SF8 BW125 @ 865.000MHz,lora,8,125,,10,865000000,64,263662,0.216,50,0,-40.0,-40.0,-40.0,15.1,15.0,0,True,
46,SF8 BW125 @ 869.525MHz,lora,8,125,,10,869525000,64,263662,0.216,50,0,-39.3,-40.0,-39.0,15.3,15.0,0,True,
47,SF8 BW125 @ 870.000MHz,lora,8,125,,10,870000000,64,263662,0.216,50,0,-39.0,-40.0,-39.0,15.2,15.0,0,True,
48,FLRC 650k pa5 L16,flrc,,,650,5,868000000,16,40000,0.001,50,50,-76.6,-81.0,-70.0,0.0,0.0,0,True,
49,FLRC 650k pa5 L64,flrc,,,650,5,868000000,64,40000,0.002,50,50,-75.9,-82.0,-69.0,0.0,0.0,0,True,
50,FLRC 650k pa5 L128,flrc,,,650,5,868000000,128,40000,0.003,50,50,-76.7,-82.0,-70.0,0.0,0.0,0,True,
51,FLRC 650k pa5 L192,flrc,,,650,5,868000000,192,40000,0.005,50,50,-75.0,-81.0,-69.0,0.0,0.0,0,True,
52,FLRC 650k pa5 L255,flrc,,,650,5,868000000,255,40000,0.006,50,0,-45.0,-45.0,-45.0,0.0,0.0,0,True,
53,FLRC 650k pa5 L256,flrc,,,650,5,868000000,256,40000,0.006,50,50,-45.0,-45.0,-45.0,0.0,0.0,0,True,
