idx,label,mod,sf,bw,br,pa,freq,plen,gap_us,toa_s,rx_pkts,crc_err,rssi_avg,rssi_min,rssi_max,snr_avg,snr_min,bit_err_total,tx_done,error
0,FLRC 650k pa5 L16,flrc,,,650,5,868000000,16,40000,0.001,50,50,-70.8,-72.0,-63.0,0.0,0.0,0,True,
1,FLRC 650k pa5 L64,flrc,,,650,5,868000000,64,40000,0.002,50,50,-71.3,-84.0,-63.0,0.0,0.0,0,True,
2,FLRC 650k pa5 L128,flrc,,,650,5,868000000,128,40000,0.003,50,50,-70.7,-72.0,-63.0,0.0,0.0,0,True,
3,FLRC 650k pa5 L192,flrc,,,650,5,868000000,192,40000,0.005,50,50,-71.2,-84.0,-70.0,0.0,0.0,0,True,
4,FLRC 650k pa5 L255,flrc,,,650,5,868000000,255,40000,0.006,50,0,-39.0,-39.0,-39.0,0.0,0.0,0,True,
5,FLRC 650k pa5 L256,flrc,,,650,5,868000000,256,40000,0.006,50,50,-39.0,-39.0,-38.0,0.0,0.0,0,True,
6,FLRC 650k pa5 L300,flrc,,,650,5,868000000,300,40000,0.007,50,50,-39.0,-39.0,-39.0,0.0,0.0,0,True,
7,FLRC 650k pa5 L384,flrc,,,650,5,868000000,384,40000,0.008,50,50,-39.0,-39.0,-39.0,0.0,0.0,0,True,
8,FLRC 650k pa5 L448,flrc,,,650,5,868000000,448,40000,0.009,50,50,-39.0,-39.0,-39.0,0.0,0.0,0,True,
9,FLRC 650k pa5 L511,flrc,,,650,5,868000000,511,40000,0.011,51,51,-40.2,-99.0,-39.0,0.0,0.0,0,True,
10,FLRC 1300k pa5 L384,flrc,,,1300,5,868000000,384,40000,0.005,50,50,-39.0,-39.0,-39.0,0.0,0.0,0,True,
11,FLRC 1300k pa5 L511,flrc,,,1300,5,868000000,511,40000,0.006,50,50,-39.0,-39.0,-39.0,0.0,0.0,0,True,
12,FLRC 2600k pa5 L511,flrc,,,2600,5,868000000,511,40000,0.003,50,50,-39.0,-39.0,-39.0,0.0,0.0,0,True,
