sf,bw_khz,pa_dbm,pkt_idx,ts_ms,rssi_dbm,snr_db,crc_ok,bit_err,pkt_len,pcrc16
7,125,10,0,8705,-32.0,16.0,1,0,64,24601
7,125,10,1,8837,-32.0,15.0,1,0,64,14761
7,125,10,2,8968,-32.0,15.0,1,0,64,10692
7,125,10,3,9099,-32.0,15.0,1,0,64,28788
7,125,10,4,9230,-32.0,15.0,1,0,64,62371
7,125,10,5,9362,-32.0,15.0,1,0,64,43539
7,125,10,6,9493,-32.0,16.0,1,0,64,47742
7,125,10,7,9624,-32.0,15.0,1,0,64,58318
7,125,10,8,9755,-32.0,15.0,1,0,64,22348
7,125,10,9,9886,-32.0,15.0,1,0,64,3836
7,125,10,10,10018,-32.0,16.0,1,0,64,7825
7,125,10,11,10149,-32.0,15.0,1,0,64,18209
7,125,10,12,10280,-32.0,16.0,1,0,64,50422
7,125,10,13,10411,-32.0,15.0,1,0,64,40262
7,125,10,14,10543,-32.0,16.0,1,0,64,36139
7,125,10,15,10674,-32.0,15.0,1,0,64,54427
7,125,10,16,10805,-32.0,15.0,1,0,64,3763
7,125,10,17,10936,-32.0,15.0,1,0,64,22275
7,125,10,18,11067,-32.0,15.0,1,0,64,18286
7,125,10,19,11199,-32.0,15.0,1,0,64,7902
7,125,10,20,11330,-32.0,15.0,1,0,64,40201
7,125,10,21,11461,-32.0,15.0,1,0,64,50361
7,125,10,22,11592,-32.0,15.0,1,0,64,54484
7,125,10,23,11724,-32.0,16.0,1,0,64,36196
7,125,10,24,11855,-32.0,15.0,1,0,64,14822
7,125,10,25,11986,-32.0,15.0,1,0,64,24662
7,125,10,26,12117,-32.0,15.0,1,0,64,28731
7,125,10,27,12248,-32.0,15.0,1,0,64,10635
7,125,10,28,12380,-32.0,16.0,1,0,64,43612
8,125,10,0,3312,-32.0,17.0,1,0,64,24601
8,125,10,1,3541,-32.0,17.0,1,0,64,14761
8,125,10,2,3770,-32.0,17.0,1,0,64,10692
8,125,10,3,3998,-32.0,17.0,1,0,64,28788
8,125,10,4,4227,-32.0,16.0,1,0,64,62371
8,125,10,5,4456,-32.0,17.0,1,0,64,43539
8,125,10,6,4685,-32.0,17.0,1,0,64,47742
8,125,10,7,4914,-32.0,17.0,1,0,64,58318
8,125,10,8,5142,-32.0,17.0,1,0,64,22348
8,125,10,9,5371,-32.0,17.0,1,0,64,3836
8,125,10,10,5600,-32.0,17.0,1,0,64,7825
8,125,10,11,5829,-32.0,16.0,1,0,64,18209
8,125,10,12,6057,-32.0,17.0,1,0,64,50422
8,125,10,13,6286,-32.0,17.0,1,0,64,40262
8,125,10,14,6515,-32.0,17.0,1,0,64,36139
8,125,10,15,6744,-32.0,17.0,1,0,64,54427
8,125,10,16,6972,-32.0,17.0,1,0,64,3763
8,125,10,17,7201,-32.0,17.0,1,0,64,22275
8,125,10,18,7430,-32.0,17.0,1,0,64,18286
8,125,10,19,7659,-32.0,17.0,1,0,64,7902
8,125,10,20,7887,-32.0,17.0,1,0,64,40201
8,125,10,21,8116,-32.0,17.0,1,0,64,50361
8,125,10,22,8345,-32.0,17.0,1,0,64,54484
8,125,10,23,8574,-32.0,17.0,1,0,64,36196
8,125,10,24,8802,-32.0,17.0,1,0,64,14822
8,125,10,25,9031,-32.0,17.0,1,0,64,24662
8,125,10,26,9260,-32.0,17.0,1,0,64,28731
8,125,10,27,9489,-32.0,17.0,1,0,64,10635
8,125,10,28,9718,-32.0,17.0,1,0,64,43612
8,125,10,29,9946,-32.0,17.0,1,0,64,62444
8,125,10,30,10175,-32.0,17.0,1,0,64,58241
8,125,10,31,10404,-32.0,17.0,1,0,64,47665
8,125,10,32,10633,-32.0,17.0,1,0,64,48461
8,125,10,33,10861,-32.0,17.0,1,0,64,58621
8,125,10,34,11090,-32.0,17.0,1,0,64,62608
8,125,10,35,11319,-32.0,17.0,1,0,64,44320
8,125,10,36,11548,-32.0,17.0,1,0,64,12023
8,125,10,37,11776,-32.0,17.0,1,0,64,30535
8,125,10,38,12005,-32.0,17.0,1,0,64,26410
8,125,10,39,12234,-32.0,17.0,1,0,64,16026
8,125,10,40,12463,-32.0,17.0,1,0,64,35352
8,125,10,41,12691,-32.0,17.0,1,0,64,54184
8,125,10,42,12920,-32.0,17.0,1,0,64,50117
8,125,10,43,13149,-32.0,17.0,1,0,64,39541
8,125,10,44,13378,-32.0,17.0,1,0,64,6562
8,125,10,45,13606,-32.0,17.0,1,0,64,16402
8,125,10,46,13835,-32.0,17.0,1,0,64,20607
8,125,10,47,14064,-32.0,17.0,1,0,64,2511
8,125,10,48,14293,-32.0,17.0,1,0,64,54247
8,125,10,49,14522,-32.0,17.0,1,0,64,35415
9,125,10,0,3500,-32.0,12.0,1,0,64,24601
9,125,10,1,3904,-32.0,12.0,1,0,64,14761
9,125,10,2,4307,-32.0,12.0,1,0,64,10692
9,125,10,3,4711,-32.0,12.0,1,0,64,28788
9,125,10,4,5114,-32.0,12.0,1,0,64,62371
9,125,10,5,5517,-32.0,12.0,1,0,64,43539
9,125,10,6,5921,-32.0,12.0,1,0,64,47742
9,125,10,7,6324,-32.0,12.0,1,0,64,58318
9,125,10,8,6727,-32.0,13.0,1,0,64,22348
9,125,10,9,7131,-32.0,12.0,1,0,64,3836
9,125,10,10,7534,-32.0,12.0,1,0,64,7825
9,125,10,11,7937,-32.0,12.0,1,0,64,18209
9,125,10,12,8341,-32.0,13.0,1,0,64,50422
9,125,10,13,8744,-32.0,12.0,1,0,64,40262
9,125,10,14,9147,-32.0,12.0,1,0,64,36139
9,125,10,15,9551,-32.0,12.0,1,0,64,54427
9,125,10,16,9954,-32.0,12.0,1,0,64,3763
9,125,10,17,10357,-32.0,12.0,1,0,64,22275
9,125,10,18,10761,-32.0,12.0,1,0,64,18286
9,125,10,19,11164,-32.0,12.0,1,0,64,7902
