sf,bw_khz,pa_dbm,npkts_sent,npkts_rx,pct,rssi_avg,rssi_min,rssi_max,snr_avg,crc_err,bit_err_total,tx_done
7,125,10,50,29,58.0,-32.0,-32.0,-32.0,15.2,0,0,False
8,125,10,50,50,100.0,-32.0,-32.0,-32.0,17.0,0,0,True
9,125,10,50,50,100.0,-32.0,-32.0,-32.0,12.1,0,0,False
10,125,10,0,0,0,,,,,,,
11,125,10,50,36,72.0,-32.0,-32.0,-32.0,12.0,0,0,False
12,125,10,50,0,0.0,,,,,0,0,False
7,250,10,50,50,100.0,-32.0,-32.0,-32.0,15.1,0,0,True
8,250,10,50,50,100.0,-32.0,-32.0,-32.0,16.9,0,0,True
9,250,10,0,0,0,,,,,,,
7,500,10,50,50,100.0,-31.0,-31.0,-31.0,14.7,0,0,True
8,500,10,50,50,100.0,-31.0,-31.0,-31.0,17.0,0,0,True
7,125,0,50,50,100.0,-41.0,-41.0,-41.0,14.9,0,0,True
8,125,0,50,50,100.0,-41.0,-41.0,-41.0,16.0,222250057,0,True
9,125,0,50,50,100.0,-41.0,-41.0,-41.0,13.9,0,0,False
