Designator,Quantity,Value,Footprint,LCSC
U1,1,ESP32-C3-Mini-1,custom:ESP32-C3_Mini_V1_Header,DNP
U2,1,RP2040-Zero,PinHeader_1x14_P2.54mm,DNP
U3,1,MAX-M10S,PinHeader_1x04_P2.54mm,DNP
U4,1,MS5611,PinHeader_1x04_P2.54mm,DNP
U5,1,TPS7A02,SOT-23-5,C89523
D1,1,BAT54,SOD-123,C8598
AE1,1,868MHz,TestPoint_THTPad_D2.0mm,DNP
AE2,1,2.4GHz,TestPoint_THTPad_D2.0mm,DNP
C1,1,100nF,C_0402_1005Metric,C1525
C2,1,100nF,C_0402_1005Metric,C1525
C3,1,100nF,C_0402_1005Metric,C1525
C4,1,10uF,C_0805_2012Metric,C15850
C5,1,10uF,C_0805_2012Metric,C15850
C6,1,100uF,C_1206_3216Metric,C15008
C7,1,10uF,C_0805_2012Metric,C15850
SC,1,1F 5.5V supercap,CP_Radial_D8.0mm_P3.50mm,DNP
J3,1,SOLAR 2-pin,PinHeader_1x02_P2.54mm,DNP
