### Footprint positions - created on 2026-07-29T21:09:52+0530 ###
### Printed by KiCad version 9.0.8+dfsg-1
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val              Package                                  PosX       PosY       Rot  Side
AE1       868MHz           TestPoint_THTPad_D2.0mm_Drill1.0mm     1.8898    -0.7874    0.0000  top
AE2       2.4GHz           TestPoint_THTPad_D2.0mm_Drill1.0mm     1.8898    -0.9843    0.0000  top
C1        100nF            C_0402_1005Metric                      0.3724    -0.1224    0.0000  top
C2        100nF            C_0402_1005Metric                      1.4961    -0.1181    0.0000  top
C3        100nF            C_0402_1005Metric                      0.5945    -1.1874    0.0000  top
C4        10uF             C_0805_2012Metric                      0.5945    -1.2598    0.0000  top
C5        100nF            C_0402_1005Metric                      0.2362    -1.1811    0.0000  top
C6        100nF            C_0402_1005Metric                      1.7323    -1.1811    0.0000  top
C7        10uF             C_0805_2012Metric                      0.2362    -0.9449    0.0000  top
D1        BAT54            D_SOD-123                              0.1575    -0.7087    0.0000  top
D2        STATUS           LED_0603_1608Metric                    0.6299    -0.1575    0.0000  top
J         SOLAR            PinHeader_1x02_P2.54mm_Vertical        0.1181    -1.4567    0.0000  top
R1        4.7k             R_0402_1005Metric                      1.6535    -1.1811    0.0000  top
R2        4.7k             R_0402_1005Metric                      1.6929    -1.2992    0.0000  top
R3        1M               R_0402_1005Metric                      0.1181    -0.5906    0.0000  top
R4        1M               R_0402_1005Metric                      0.1969    -0.5906    0.0000  top
R5        330R             R_0402_1005Metric                      0.7283    -0.1575    0.0000  top
SC        1F_5.5V          CP_Radial_D8.0mm_P3.50mm               0.3150    -1.4567    0.0000  top
TP1       SPI0_SCK         TestPoint_Pad_D1.0mm                   0.9843    -1.4961    0.0000  top
TP2       SPI0_MOSI        TestPoint_Pad_D1.0mm                   1.1417    -1.4961    0.0000  top
TP3       3V3              TestPoint_Pad_D1.0mm                   1.2992    -1.4961    0.0000  top
TP4       GND              TestPoint_Pad_D1.0mm                   1.4567    -1.4961    0.0000  top
U         ESP32-C3-Mini-1  ESP32-C3_Mini_V1_Header                0.4724    -0.4724    0.0000  top
U1        RP2040-Zero      PinHeader_1x13_P2.54mm_Vertical        1.4961    -0.4724    0.0000  top
U2        LoRa2021         LoRa2021_Castellated                   0.9843    -0.9843    0.0000  top
U3        MAX-M10S         PinHeader_1x04_P2.54mm_Vertical        0.2362    -1.2992    0.0000  top
U4        MS5611           PinHeader_1x04_P2.54mm_Vertical        1.7323    -1.2992    0.0000  top
U5        TPS7A02          SOT-23-5                               0.1969    -0.8661    0.0000  top
## End
