### Footprint positions - created on 2026-08-05T13:45:34+0530 ###
### Printed by KiCad version 9.0.8+dfsg-1
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val              Package                                  PosX       PosY       Rot  Side
AE1       868MHz           TestPoint_THTPad_D2.0mm_Drill1.0mm    48.0000   -20.0000    0.0000  top
AE2       2.4GHz           TestPoint_THTPad_D2.0mm_Drill1.0mm    48.0000   -25.0000    0.0000  top
C1        100nF            C_0402_1005Metric                      9.4600    -3.1100    0.0000  top
C2        100nF            C_0402_1005Metric                     38.0000    -3.0000    0.0000  top
C3        100nF            C_0402_1005Metric                     15.1000   -30.1600    0.0000  top
C4        10uF             C_0805_2012Metric                     15.1000   -32.0000    0.0000  top
C5        100nF            C_0402_1005Metric                      6.0000   -30.0000    0.0000  top
C6        100nF            C_0402_1005Metric                     44.0000   -30.0000    0.0000  top
C7        10uF             C_0805_2012Metric                      6.0000   -24.0000    0.0000  top
D1        BAT54            D_SOD-123                              4.0000   -18.0000    0.0000  top
D2        STATUS           LED_0603_1608Metric                   16.0000    -4.0000    0.0000  top
J         SOLAR            PinHeader_1x02_P2.54mm_Vertical        3.0000   -37.0000    0.0000  top
R1        4.7k             R_0402_1005Metric                     42.0000   -30.0000    0.0000  top
R2        4.7k             R_0402_1005Metric                     43.0000   -33.0000    0.0000  top
R3        1M               R_0402_1005Metric                      3.0000   -15.0000    0.0000  top
R4        1M               R_0402_1005Metric                      5.0000   -15.0000    0.0000  top
R5        330R             R_0402_1005Metric                     18.5000    -4.0000    0.0000  top
SC        1F_5.5V          CP_Radial_D8.0mm_P3.50mm               8.0000   -37.0000    0.0000  top
TP1       SPI0_SCK         TestPoint_Pad_D1.0mm                  25.0000   -38.0000    0.0000  top
TP2       SPI0_MOSI        TestPoint_Pad_D1.0mm                  29.0000   -38.0000    0.0000  top
TP3       3V3              TestPoint_Pad_D1.0mm                  33.0000   -38.0000    0.0000  top
TP4       GND              TestPoint_Pad_D1.0mm                  37.0000   -38.0000    0.0000  top
TP5       LED_GPIO18       TestPoint_Pad_D1.0mm                  41.0000   -38.0000    0.0000  top
TP6       FEM_TX_GPIO19    TestPoint_Pad_D1.0mm                  45.0000   -38.0000    0.0000  top
U         ESP32-C3-Mini-1  ESP32-C3_Mini_V1_Header               12.0000   -12.0000    0.0000  top
U1        RP2040-Zero      PinHeader_1x13_P2.54mm_Vertical       38.0000   -12.0000    0.0000  top
U2        LoRa2021         LoRa2021_Castellated                  25.0000   -25.0000    0.0000  top
U3        MAX-M10S         PinHeader_1x04_P2.54mm_Vertical        6.0000   -33.0000    0.0000  top
U4        MS5611           PinHeader_1x04_P2.54mm_Vertical       44.0000   -33.0000    0.0000  top
U5        TPS7A02          SOT-23-5                               5.0000   -22.0000    0.0000  top
## End
