run,reset_mode,cfg_idx,label,mod,n,k,per,verdict,rssi_avg,snr_avg,foreign_pkts,tx_done,dur_s
A1,strict,0,FLRC 2600k pa5 L64,flrc,50,0,0.0,CLEAN,-91.6,0.0,0,True,8.566384615384615
A1,strict,1,FLRC 1300k pa5 L64,flrc,50,0,0.0,CLEAN,-78.5,0.0,0,True,8.58276923076923
A1,strict,2,FLRC 650k pa5 L64,flrc,50,0,0.0,CLEAN,-85.8,0.0,0,True,8.615538461538462
A1,strict,3,SF12 BW125 PA10 L16,lora,50,0,0.0,CLEAN,-42.0,8.8,0,True,135.30790000000002
A1,strict,4,SF11 BW125 PA10 L16,lora,50,0,0.0,CLEAN,-42.0,8.0,0,True,71.77895000000001
A1,strict,5,FLRC 2600k pa5 L128,flrc,50,0,0.0,CLEAN,-91.6,0.0,0,True,8.581153846153846
A1,strict,6,FLRC 1300k pa5 L255,flrc,50,0,0.0,CLEAN,-47.0,0.0,0,True,8.670923076923078
A1,strict,7,FLRC 650k pa5 L255,flrc,50,9,0.18,EDGE,-46.8,0.0,0,True,8.892046153846154
A1,strict,8,SF12 BW125 PA10 L16 #2,lora,50,0,0.0,CLEAN,-42.0,8.9,0,True,135.30790000000002
A1,strict,9,SF11 BW125 PA10 L16 #2,lora,50,0,0.0,CLEAN,-42.0,8.0,0,True,71.77895000000001
